business_supplier,contacts_url,gold_status,gold_years,main_products,supplier_url
"Shanghai Lipu Electric Lighting Co., Ltd.",//lpzm.en.alibaba.com/contactinfo.html,Gold Supplier,12,"Floodlight,Street Light,Ballast,Ignitor,LED Floodlight,LED Street Light",//lpzm.en.alibaba.com/company_profile.html#top-nav-bar
"Quanzhou Orientrise Horticulture Products Co., Ltd.",//growstar.en.alibaba.com/contactinfo.html,Gold Supplier,9,"Grow Tent,Grow Pot,Bubble Bag,Inline Fan,Carbon Filter",//growstar.en.alibaba.com/company_profile.html#top-nav-bar
"Sinowell (Shanghai) Co., Ltd.",//sinowell.en.alibaba.com/contactinfo.html,Supplier,11,"Ballast,Reflector,Bulb,Filter,Inline Fan,Reflective Mylar Film,Rope Ratchet Hanger",//sinowell.en.alibaba.com/company_profile.html#top-nav-bar
"Changzhou City Wujin Shinder Lighting Appliances Co., Ltd.",//czxinde.en.alibaba.com/contactinfo.html,Gold Supplier,13,"Flood Light,street light,Metal Halide lamp,led flood light,led street light",//czxinde.en.alibaba.com/company_profile.html#top-nav-bar
"Huizhou HongYi Lighting Co., Ltd.",//hydroponics-products.en.alibaba.com/contactinfo.html,Gold Supplier,7,"Grow Light Reflector,Carbon Filter,Grow Tent,Double Ended Reflector,Lighting Parts",//hydroponics-products.en.alibaba.com/company_profile.html#top-nav-bar
"Lanxi Bistar Lighting Co., Ltd.",//bistar.en.alibaba.com/contactinfo.html,Gold Supplier,13,"Lamp,Electronic Ballast",//bistar.en.alibaba.com/company_profile.html#top-nav-bar
"Chi Na Tech (HZ) Co., Ltd.",//horti-king.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Grow Lights,Ventilation Fan,Dehumidifier,Grow Tent,Carbon Filter",//horti-king.en.alibaba.com/company_profile.html#top-nav-bar
"Shanghai JingRui Lighting Co., Ltd.",//jr-lighting.en.alibaba.com/contactinfo.html,Gold Supplier,3,"LED light,HID Light,Tower light,Grow light,Street light",//jr-lighting.en.alibaba.com/company_profile.html#top-nav-bar
"Shanghai Millenium Industry Co., Ltd.",//millenium.en.alibaba.com/contactinfo.html,Supplier,2,"Grow Light,Fishing Light,Infrared Light,Ballast",//millenium.en.alibaba.com/company_profile.html#top-nav-bar
"Shenzhen Jayo Technologies Co., Ltd.",//jayotech.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Grow Light Ballast,Control Board",//jayotech.en.alibaba.com/company_profile.html#top-nav-bar
"Xiaogan Raylux Lighting Co., Ltd.",//raylux.en.alibaba.com/contactinfo.html,Gold Supplier,1,"Grow tent,Ballast,Grow bag,Led grow light,Bulbs",//raylux.en.alibaba.com/company_profile.html#top-nav-bar
"Sinowell (Shanghai) Co., Ltd.",//sinowell.en.alibaba.com/contactinfo.html,Supplier,11,"Ballast,Reflector,Bulb,Filter,Inline Fan,Reflective Mylar Film,Rope Ratchet Hanger",//sinowell.en.alibaba.com/company_profile.html#top-nav-bar
"Lanxi Bistar Lighting Co., Ltd.",//bistar.en.alibaba.com/contactinfo.html,Gold Supplier,13,"Lamp,Electronic Ballast",//bistar.en.alibaba.com/company_profile.html#top-nav-bar
"Huizhou Risen Lighting Co., Ltd.",//risenlighting.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Grow Ballast,HPS/MH Lamp,Grow light Kits,Led Panel Light,Led Flood Light",//risenlighting.en.alibaba.com/company_profile.html#top-nav-bar
"Sinowell (Shanghai) Co., Ltd.",//sino-well.en.alibaba.com/contactinfo.html,Gold Supplier,9,"Electronic Ballast,Magnetic Ballast,Digital Ballast,Grow Tent,600w Electronic Ballast",//sino-well.en.alibaba.com/company_profile.html#top-nav-bar
"Shenzhen Jayo Technologies Co., Ltd.",//jayotech.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Grow Light Ballast,Control Board",//jayotech.en.alibaba.com/company_profile.html#top-nav-bar
"Guangzhou New View Electrical & Lighting Co., Ltd.",//new-viewhid.en.alibaba.com/contactinfo.html,Gold Supplier,12,"OEM HID ballast,HID xenon kit,LED headlight,LED Bar Light,LED Work Light",//new-viewhid.en.alibaba.com/company_profile.html#top-nav-bar
"Ningbo Yong Cai Optoelectronic Technology Co., Ltd.",//ycgd.en.alibaba.com/contactinfo.html,Gold Supplier,4,"LED Headlight,LED Light Bar,LED Work Light,HID XENON KIT,Car LED Interior Lights",//ycgd.en.alibaba.com/company_profile.html#top-nav-bar
"Wenzhou Hengxiong Electric Co., Ltd.",//chinuphydro.en.alibaba.com/contactinfo.html,Gold Supplier,6,"grow light reflector,electronic ballast,grow tent,T5 fixture,light hanger",//chinuphydro.en.alibaba.com/company_profile.html#top-nav-bar
"Gwell Group Co., Ltd.",//gwellgroup.en.alibaba.com/contactinfo.html,Supplier,5,"Ballast,Reflector,Bulb,Filter,Inline Fan,Reflective Mylar Film,Rope Ratchet Hanger",//gwellgroup.en.alibaba.com/company_profile.html#top-nav-bar
"Xuzhou Hortlight Co., Ltd.",//hortlight.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Electronic Ballast,1000W DE Fixture,630W CMH Fixture,315W CMH Ballast,Dual 315W Fixture",//hortlight.en.alibaba.com/company_profile.html#top-nav-bar
"Xiaogan Raylux Lighting Co., Ltd.",//raylux.en.alibaba.com/contactinfo.html,Gold Supplier,1,"Grow tent,Ballast,Grow bag,Led grow light,Bulbs",//raylux.en.alibaba.com/company_profile.html#top-nav-bar
"Huizhou HongYi Lighting Co., Ltd.",//hydroponics-products.en.alibaba.com/contactinfo.html,Gold Supplier,7,"Grow Light Reflector,Carbon Filter,Grow Tent,Double Ended Reflector,Lighting Parts",//hydroponics-products.en.alibaba.com/company_profile.html#top-nav-bar
"Ningbo Yong Cai Optoelectronic Technology Co., Ltd.",//ycgd.en.alibaba.com/contactinfo.html,Gold Supplier,4,"LED Headlight,LED Light Bar,LED Work Light,HID XENON KIT,Car LED Interior Lights",//ycgd.en.alibaba.com/company_profile.html#top-nav-bar
"Chi Na Tech (HZ) Co., Ltd.",//hzhortiking.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Grow Light Bulb,Hydroponics,Garden Accessories,Carbon Filter,Ventilation System",//hzhortiking.en.alibaba.com/company_profile.html#top-nav-bar
"Xuzhou Hortlight Co., Ltd.",//hortlight.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Electronic Ballast,1000W DE Fixture,630W CMH Fixture,315W CMH Ballast,Dual 315W Fixture",//hortlight.en.alibaba.com/company_profile.html#top-nav-bar
"Huizhou Virex Technology Co., Ltd.",//virex.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Leaf Trimmer,Double ended reflector,Double ended Ballast,Grow Tent,Light mover",//virex.en.alibaba.com/company_profile.html#top-nav-bar
"Yongkang Sun-Vehicle Industry & Trade Co., Ltd.",//kinggrow.en.alibaba.com/contactinfo.html,Gold Supplier,2,"ballast,reflector,grow light bulbs",//kinggrow.en.alibaba.com/company_profile.html#top-nav-bar
"Hangzhou Triumph Imp & Exp Co., Ltd.",//tri-lite.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Hydriponics System,Led Grow Light,Grow Light Bulb,Grow Tent,Garden Accessories",//tri-lite.en.alibaba.com/company_profile.html#top-nav-bar
Guangzhou EBM Lighting Limited,//ebm-lighting.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Electronic Ballast,CMH Ballast,HID electronic ballast,Grow Light Bulb,Grow Light kit",//ebm-lighting.en.alibaba.com/company_profile.html#top-nav-bar
