contact_url,contact_name,contact_dept,Telephone:,Mobile Phone:,Fax:,Address:,Zip:,Country/Region:,Province/State:,City:
https://shyoubai.en.alibaba.com/contactinfo.html,Ms. NovaTork .,Sales,0,,0,"168 Qianqiao Road, Qingcun Town, Fengxian District,",201407,China,Shanghai,Shanghai
https://haofarubber.en.alibaba.com/contactinfo.html,Dai Bin,,,,,,,China,,
https://ronixtools.en.alibaba.com/contactinfo.html,Mr. Toney Ding,Sales,0,0,0,"1809room, Guotai east square, Renmin east road",215600,China,Jiangsu,Zhangjiagang city
https://fujiyatw.en.alibaba.com/contactinfo.html,Mr. Shao-Ting Hung,Sales,0,0,0,"No.126, Huludun 2nd St. Fengyuan Dist.",420,"Taiwan, China",,Taichung City
https://modern-china.en.alibaba.com/contactinfo.html,Ms. Donna Xue,,0,,0,"guanhaiwei industrial zone,west section",315315,China,Zhejiang,ningbo
https://motorhomes.en.alibaba.com/contactinfo.html,Ms. Annetta Nan,Director/CEO/General Manager,0,0,,"No409, nan er huan road Lianhu District",710077,China,Shaanxi,xi'an
https://cnseat.en.alibaba.com/contactinfo.html,Mr. David Guo,Sales,0,0,0,"Changduan, Qiwei Road, Economic Development Zone, ",212310,China,Jiangsu,Danyang
https://nbesen.en.alibaba.com/contactinfo.html,Ms. Shirley Huan,Sales,0,0,0,"QIAOPENG,XINDIAN TOWN,NINGHAI,NINGBO ,ZHEJIANG PROVINCE,CHINA",315613,China,Zhejiang,NINGBO
https://rashangyi.en.alibaba.com/contactinfo.html,Mr. Carry Wu,Sales,0,0,,Ruian,3235400,China,Zhejiang,RUIAN
https://cofoe.en.alibaba.com/contactinfo.html,Ms. Kay Wang,Sales,0,,,Gaoqiao Medical Equipment Zone,,China,Hunan,Changsha
https://ronix-handtools.en.alibaba.com/contactinfo.html,Ms. Bella Lee,Sales,0,0,0,"RenMing East Road,Zhangjiagang City",215600,China,Jiangsu,Suzhou City
https://chinarek.en.alibaba.com/contactinfo.html,Ms. Kaixuan Li,Director/CEO/General Manager,0,0,0,"Rm1202,A-unit,Baohua Building,Huaqiang North Road,Shenzhen-518000,China",518000,China,Guangdong,Shenzhen
https://szcontrol.en.alibaba.com/contactinfo.html,Ms. Beryl Zeng,Sales,0,,,"Room501,Unit1,Lan Yuan Multiple-use Building,She Kou,Nan Shan District",518067,China,Guangdong,Shenzhen
https://mocap.en.alibaba.com/contactinfo.html,Ms. Karen Lee,Sales,0,0,0,"3 Industry Avenue North,Xiaolan Town,Zhongshan Guangdong,China",528415,China,Guangdong,Zhongshan
https://jiefachina.en.alibaba.com/contactinfo.html,Mr. Tony zhang,Director/CEO/General Manager,0,0,,"2nd floor, Building No.1, Development Center of Xigang, No. 298 ZhenHua Road",310030,China,Zhejiang,Hangzhou
https://ttsunshine.en.alibaba.com/contactinfo.html,,,,,,,,China,,
https://pk1321151407mowz.trustpass.alibaba.com/contactinfo.html,Mr. Salman Arif,Administrative,0,,0,Pakistan,92,Pakistan,Pakistan,Pakistan
https://procirclefitness.en.alibaba.com/contactinfo.html,Mr. Patrick Lee,Director/CEO/General Manager,0,0,0,"No.99 Ren'ai Road, Dushu Lake Higher Education Town",215000,China,Jiangsu,Suzhou
https://matthewtool.en.alibaba.com/contactinfo.html,Mr. lu luke,Sales,0,0,,Songce Road ,215200,China,Jiangsu,Suzhou
https://miyashop.en.alibaba.com/contactinfo.html,Ms. Abby Li,,0,,,Wulidun Street,230000,China,Anhui,Hefei
https://aoyimeter.en.alibaba.com/contactinfo.html,Ms. Lucia Z,Sales,0,,,"Room 402, Building 6, No. 18, Baosheng Road, Songjiang District ",200000,China,Shanghai,Shanghai
https://rapunzelhair.en.alibaba.com/contactinfo.html,Ms. Rapunzel Sun,Sales,0,0,0,Jiaozhou ,266300,China,Shandong,Qingdao
https://imfield.en.alibaba.com/contactinfo.html,Mr. Leon Guo,Sales,0,0,0,"5-3-701 JianLin District, Erdos East Street, Huhhot, China",030002,China,Inner Mongolia,Huhhot
https://hd2002.en.alibaba.com/contactinfo.html,Ms. judy zhou,Sales,0,,,International Building,,China,Hubei,Xian Ning City 
https://rui.en.alibaba.com/contactinfo.html,Mr. Alex Wu,Marketing,0,,0,"Floor 12th.,No.99,Huaxing Road,Hangzhou,Zhejiang,China",310012,China,Zhejiang,Hangzhou
https://newsunshine.en.alibaba.com/contactinfo.html,Mr. Shuxia Hu,Director/CEO/General Manager,0,0,0,"No. 18, Hengtang Road, Xiangtan city",411101,China,Hunan,Xiangtan
https://gsylqc.en.alibaba.com/contactinfo.html,Mr. Walter Li,Sales,0,0,0,"Dadi town,Shenzhou country, Hengshui city, Hebei province,053000 China",053000,China,Hebei,Hengshui
https://perfectlaser.en.alibaba.com/contactinfo.html,Ms. Cindy Yu,,0,0,0,"HengRuichuangzhi Technology Park, No.13 YangQiaohu Road, Jiangxia District, Wuhan, Hubei, China",430200,China,Hubei,Wuhan
https://czleimengde.en.alibaba.com/contactinfo.html,Ms. liuying yu,Director/CEO/General Manager,0,,,"The industrial cluster of Luoyang Town,Changzhou City,Jiangsu Province,China",213104,China,Jiangsu,Changzhou
https://megaplant.en.alibaba.com/contactinfo.html,Ms. Dora Pan,Sales,0,,,"NO.130 HONGZHUAN ROAD,JINSHUI DISTRICT",450000,China,Henan,Zhengzhou
https://chinarunhe.en.alibaba.com/contactinfo.html,Ms. Sharon Song,Sales,0,0,0,"Room1906, Guangli Mansion, No. 136, Qingchun Road",310002,China,Zhejiang,Hangzhou
https://jskaiyuan.en.alibaba.com/contactinfo.html,,,,,,,,China,,
https://bestrantech.en.alibaba.com/contactinfo.html,Ms. Mia Zhang,Marketing,0,0,0,Zhangjiagang Economic Development Zone,215600,China,Jiangsu,Zhangjiagang
https://horizon-chem.en.alibaba.com/contactinfo.html,Mr. Johnson Yang,Director/CEO/General Manager,0,0,0,"Room 2408,Zhongjian Bldg., Luohu District",518000,China,Guangdong,Shenzhen City
https://hyhchem.en.alibaba.com/contactinfo.html,Mr. Jacky Lau,Director/CEO/General Manager,0,0,0,"No.3786,Shanyang district",454000,China,Henan,Jiaozuo
https://leshinehair.en.alibaba.com/contactinfo.html,Mr. LeShine Hair,Director/CEO/General Manager,0,0,0,"Haier Cloud Avenue, No.99 Chongqing South Rd., Shibei District",266033,China,Shandong,Qingdao
https://qinme.en.alibaba.com/contactinfo.html,Mr. Leo Ho,Sales,0,0,0,Longgang,518057,China,Guangdong,Shenzhen
https://bowaychina.en.alibaba.com/contactinfo.html,Ms. Nina Dong,Marketing,0,,0,"No.1216, Gongyuanxi Road, Jinqiao Industrial Park, Fuyang,Hangzhou",311400,China,Zhejiang,Hangzhou
https://rjsewing.en.alibaba.com/contactinfo.html,Mr. Frank Zhang,Sales,0,0,,"No. 896-898, sewing machine parts market, hulu town",322100,China,Zhejiang,Dongyang
